[2026-06-20T22:44:42+00:00] Started evaluation run
[2026-06-20T22:44:42+00:00] Loading detector: hf_securebert2_vuln
[2026-06-20T22:44:48+00:00] Loading detector: hf_graphcodebert_devign
[2026-06-20T22:44:48+00:00] Loading detector: hf_codebert_devign
[2026-06-20T22:44:49+00:00] Loading detector: semgrep
[2026-06-20T22:44:49+00:00] Loading detector: cppcheck
[2026-06-20T22:44:49+00:00] Loading detector: flawfinder
[2026-06-20T22:44:49+00:00] Loading detector: clang_static_analyzer
[2026-06-20T22:44:49+00:00] Loading detector: clang_tidy_security
[2026-06-20T22:44:49+00:00] Evaluating snippet: snippet_0001
[2026-06-20T22:44:55+00:00] Evaluating snippet: snippet_0002
[2026-06-20T22:45:01+00:00] Evaluating snippet: snippet_0003
[2026-06-20T22:45:07+00:00] Evaluating snippet: snippet_0004
[2026-06-20T22:45:13+00:00] Evaluating snippet: snippet_0005
[2026-06-20T22:45:19+00:00] Evaluating snippet: snippet_0006
[2026-06-20T22:45:24+00:00] Evaluating snippet: snippet_0007
[2026-06-20T22:45:30+00:00] Evaluating snippet: snippet_0008
[2026-06-20T22:45:36+00:00] Evaluating snippet: snippet_0009
[2026-06-20T22:45:41+00:00] Evaluating snippet: snippet_0010
[2026-06-20T22:45:47+00:00] Evaluating snippet: snippet_0011
[2026-06-20T22:45:52+00:00] Evaluating snippet: snippet_0012
[2026-06-20T22:45:57+00:00] Evaluating snippet: snippet_0013
[2026-06-20T22:46:03+00:00] Evaluating snippet: snippet_0014
[2026-06-20T22:46:08+00:00] Evaluating snippet: snippet_0015
[2026-06-20T22:46:13+00:00] Evaluating snippet: snippet_0016
[2026-06-20T22:46:19+00:00] Evaluating snippet: snippet_0017
[2026-06-20T22:46:24+00:00] Evaluating snippet: snippet_0018
[2026-06-20T22:46:29+00:00] Evaluating snippet: snippet_0019
[2026-06-20T22:46:35+00:00] Evaluating snippet: snippet_0020
[2026-06-20T22:46:40+00:00] Evaluating snippet: snippet_0021
[2026-06-20T22:46:46+00:00] Evaluating snippet: snippet_0022
[2026-06-20T22:46:52+00:00] Evaluating snippet: snippet_0023
[2026-06-20T22:46:59+00:00] Evaluating snippet: snippet_0024
[2026-06-20T22:47:07+00:00] Evaluating snippet: snippet_0025
[2026-06-20T22:47:13+00:00] Evaluating snippet: snippet_0026
[2026-06-20T22:47:19+00:00] Evaluating snippet: snippet_0027
[2026-06-20T22:47:25+00:00] Evaluating snippet: snippet_0028
[2026-06-20T22:47:31+00:00] Evaluating snippet: snippet_0029
[2026-06-20T22:47:37+00:00] Evaluating snippet: snippet_0030
[2026-06-20T22:47:43+00:00] Evaluating snippet: snippet_0031
[2026-06-20T22:47:49+00:00] Evaluating snippet: snippet_0032
